record_id,filer_id,filer_name,party,date,amount,payee_display,purpose_display,office,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
2834446-91-EXP5119,1414018,Gavin Newsom,,2023-01-09,3000.49,"TruVerse, Inc. dba Amplify.ai",Text Messages,,,amplify_ai,Amplify.ai (TruVerse),political_specific,legacy,high
2834446-92-EXP5285,1414018,Gavin Newsom,,2023-04-12,3000.81,"TruVerse, Inc. dba Amplify.ai",Text Messages,,,amplify_ai,Amplify.ai (TruVerse),political_specific,legacy,high
2834446-93-EXP5312,1414018,Gavin Newsom,,2023-06-07,38.79,"TruVerse, Inc. dba Amplify.ai",Text Messages,,,amplify_ai,Amplify.ai (TruVerse),political_specific,legacy,high
2831336-15-EXP73,1457684,Todd Gloria,,2023-02-25,301.98,The Gemini Group /  Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
2831336-72-EXP288,1457684,Todd Gloria,,2023-05-23,2892.88,The Gemini Group /  Jennifer Tierney,See Sch. G,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
2831336-99-EXP462,1457684,Todd Gloria,,2023-06-25,1225.0,The Gemini Group /  Jennifer Tierney,See Sch. G,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
2835850-226-G-118479,741949,REPUBLICAN PARTY OF SAN DIEGO COUNTY- STATE ACCOUNT,,2023-02-06,59.16,GRAMMARLY.COM,SOFTWARE,,,grammarly,Grammarly,general_purpose,legacy,high
2880568-74-EXP5329,1414018,Gavin Newsom,,2023-07-06,2208.97,"TruVerse, Inc. dba Amplify.ai",Text Messages,,,amplify_ai,Amplify.ai (TruVerse),political_specific,legacy,high
2880568-75-EXP5334,1414018,Gavin Newsom,,2023-07-07,3435.15,"TruVerse, Inc. dba Amplify.ai",Text Messages,,,amplify_ai,Amplify.ai (TruVerse),political_specific,legacy,high
2874130-10-EXP189,1460549,Tenessa Audette,,2023-09-20,58.0,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2874130-15-EXP243,1460549,Tenessa Audette,,2023-10-12,58.57,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2874130-25-EXP294,1460549,Tenessa Audette,,2023-11-06,61.23,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2874130-35-EXP342,1460549,Tenessa Audette,,2023-12-06,52.28,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2894485-30-EDT135,1387303,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,,2024-02-09,3855.19,PROMPT.IO INC.,TEXT MESSAGES,,,prompt_io,Prompt.io,political_specific,legacy,high
2894485-31-EDT136,1387303,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,,2024-02-09,2626.23,PROMPT.IO INC.,TEXT MESSAGES,,,prompt_io,Prompt.io,political_specific,legacy,high
2895488-20-E-437585,1268914,Reform California with Carl DeMaio - Ballot Measure Committee,,2024-02-05,1652.5,Prompt.io Inc,TEXT MESSAGING,,,prompt_io,Prompt.io,political_specific,legacy,high
2895488-21-E-452757,1268914,Reform California with Carl DeMaio - Ballot Measure Committee,,2024-02-10,1500.0,Prompt.io Inc,TEXT MESSAGING,,,prompt_io,Prompt.io,political_specific,legacy,high
2895027-64-PDT111,1458873,Catherine Stefani,,2024-02-06,12500.0,Prompt.io Inc.,Text Messaging Campaign,,,prompt_io,Prompt.io,political_specific,legacy,high
2920550-4-E-5332,1464298,Jodi Cleesattle,,2024-06-26,4000.0,The Gemini Group,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
2867596-23-EDT3,1460602,Children's Educational Opportunity Act,,2023-07-30,270.0,Synthesia Limited,,,,synthesia,Synthesia,general_purpose,generative,high
2879410-4-E1732358,1463444,Jimmy Pham,,2023-10-23,25.0,Numero.ai,,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2879410-6-E1732362,1463444,Jimmy Pham,,2023-10-24,3.95,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2879410-7-E1732360,1463444,Jimmy Pham,,2023-10-31,3.95,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2872290-225-G-26862,1458770,Suzette Martinez Valladares,,2023-10-13,1100.55,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
2872290-227-G-26980,1458770,Suzette Martinez Valladares,,2023-11-07,1365.53,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
2879410-15-E1732366,1463444,Jimmy Pham,,2023-12-05,41.48,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2879410-16-E1732368,1463444,Jimmy Pham,,2023-12-12,19.75,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2879410-19-E1732516,1463444,Jimmy Pham,,2023-12-18,23.7,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2879410-20-E1732908,1463444,Jimmy Pham,,2023-12-25,23.7,Numero.ai,,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
2894972-4-PDT14,1304253,Personal Insurance Federation Committee,,2024-02-07,2465.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
2894670-35-EDT168,1399192,Building a Healthy Future for CA Facilitated by Agricultural Council of CA,,2024-02-08,1536.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
2895117-3-EXP132,1435800,Project SuperBloom,,2024-02-14,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
2895394-30-G-232688,741949,REPUBLICAN PARTY OF SAN DIEGO COUNTY- STATE ACCOUNT,,2024-01-31,92.16,GRAMMARLY.COM,SOFTWARE,,,grammarly,Grammarly,general_purpose,legacy,high
2956632-1-EXP613,1460549,Tenessa Audette,,2024-07-01,74.0,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2956632-20-EXP659,1460549,Tenessa Audette,,2024-07-31,74.0,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2956632-39-EXP714,1460549,Tenessa Audette,,2024-09-03,66.0,Campaign Nucleus LLC,,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
2956634-7-EXP1105,1458131,Kristie Bruce-Lane,,2024-07-10,2000.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
2956634-21-EXP1181,1458131,Kristie Bruce-Lane,,2024-08-07,5000.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
2956634-43-EXP1287,1458131,Kristie Bruce-Lane,,2024-09-04,8500.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
2937072-20-EXP132,1435800,Project SuperBloom,,2024-02-14,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
2937072-21-EXP168,1435800,Project SuperBloom,,2024-05-15,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
2956456-37-E1740170,1461897,Marisol Rubio,,2024-09-05,300.0,DonorAtlas,,,,donoratlas,DonorAtlas,political_specific,generative,high
2931758-19-EDT530,1281772,GOLDEN STATE LEADERSHIP FUND PAC,,2024-03-06,12068.88,PROMPT.IO INC.,TEXT MESSAGES,,,prompt_io,Prompt.io,political_specific,legacy,high
2935257-130-G-10710,1459950,Patrick Gipson,,2024-03-13,1179.04,Prompt.IO Inc.,PHO and Digital Advertising,,,prompt_io,Prompt.io,political_specific,legacy,high
2937072-17-EXP168,1435800,Project SuperBloom,,2024-05-15,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
2956550-13-EXP244,1435800,Project SuperBloom,,2024-08-20,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
2957368-10-EXP945,1464981,Jerry McNerney,,2024-07-01,22.0,Eleven Labs,,,,elevenlabs,ElevenLabs,general_purpose,generative,high
