record_id,filer_id,filer_name,party,date,amount,payee_display,purpose_display,office,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
1458415,20195036233,BRIDGES FOR COLORADO,,2023-01-03,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1461683,20175032139,POLIS FOR COLORADO,,2023-02-01,99.99,"OTTER.AI, INC",EQUIPMENT/SUPPLIES,STATEWIDE,,otter_ai,Otter.ai,general_purpose,legacy,high
1469549,20195036233,BRIDGES FOR COLORADO,,2023-02-23,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1469550,20195036233,BRIDGES FOR COLORADO,,2023-03-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1461705,20175032139,POLIS FOR COLORADO,,2023-03-15,-99.99,"OTTER.AI, INC",ERRANT CHARGE REFUNDED,STATEWIDE,,otter_ai,Otter.ai,general_purpose,legacy,high
1469551,20195036233,BRIDGES FOR COLORADO,,2023-04-03,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1468920,20175032059,ELECT PAUL LUNDEEN,,2023-04-21,20.0,CHATGPT,,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1469552,20195036233,BRIDGES FOR COLORADO,,2023-05-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1468921,20175032059,ELECT PAUL LUNDEEN,,2023-05-21,20.0,CHATGPT,,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1469553,20195036233,BRIDGES FOR COLORADO,,2023-06-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1469554,20195036233,BRIDGES FOR COLORADO,,2023-07-03,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1479250,20175032059,ELECT PAUL LUNDEEN,,2023-07-21,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1483942,20195036233,BRIDGES FOR COLORADO,,2023-08-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1479581,20235045587,MANNY FOR COLORADO,,2023-08-09,20.0,OPENAI,RESEARCH USING COMPUTER BOTS (AI),STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1479251,20175032059,ELECT PAUL LUNDEEN,,2023-08-21,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1483944,20195036233,BRIDGES FOR COLORADO,,2023-09-05,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1479613,20235045587,MANNY FOR COLORADO,,2023-09-11,20.0,OPENAI,RESEARCH,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1480514,20135025549,DONOVAN FOR STATE SENATE,,2023-09-28,139.95,GRAMMARLY,,STATEWIDE,,grammarly,Grammarly,general_purpose,legacy,high
1436683,20195036233,BRIDGES FOR COLORADO,,2022-10-03,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1458416,20195036233,BRIDGES FOR COLORADO,,2022-11-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1458417,20195036233,BRIDGES FOR COLORADO,,2022-12-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1512680,20195036233,BRIDGES FOR COLORADO,,2024-01-02,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1505144,20235045587,MANNY FOR COLORADO,,2024-01-09,20.0,OPENAI,RESEARCH,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1503992,20175032059,ELECT PAUL LUNDEEN,,2024-01-22,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1518924,20235046727,ANGELA THOMAS 4 COMMISSIONER,,2024-01-29,144.0,GRAMMARLY,,DOUGLAS,,grammarly,Grammarly,general_purpose,legacy,high
1512683,20195036233,BRIDGES FOR COLORADO,,2024-02-01,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1505145,20235045587,MANNY FOR COLORADO,,2024-02-09,20.0,OPENAI,RESEARCH,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1512685,20195036233,BRIDGES FOR COLORADO,,2024-03-01,50.0,NUMERO.AI,,STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1505146,20235045587,MANNY FOR COLORADO,,2024-03-11,20.0,OPENAI,RESEARCH,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1509107,20215040123,COMMITTEE TO ELECT REGINA ENGLISH FOR COLORADO HOUSE,,2024-03-14,60.0,REGINA ENGLISH,GRAMMARLY,STATEWIDE,,grammarly,Grammarly,general_purpose,legacy,high
