cycle,cand_id,cand_name,office,cand_state,cand_district,cand_party,spender_id,spender_name,support_oppose,transaction_date,transaction_amt,purpose,payee,file_num,tran_id,vendor_ids,vendor_names,vendor_groups,confidences,use_categories
2026,H6TX09207,"VIRTS, TERRY",H,TX,09,DEMOCRATIC PARTY,C00771113,COUNTRY FIRST,S,18-FEB-26,4046.6,TEXT MESSAGING,PROMPT.IO,1948168,SE24.32694,prompt_io,Prompt.io,political_specific,high,unspecified
2026,S6MT00287,"BODNAR, SETH",S,MT,00,INDEPENDENT,C00884924,INDEPENDENT PAC,S,26-AUG-26,4870.0,NNON CONTRIBUTION ACCT: SMS/MMS MESSAGING,PROMPT.IO INC.,2010154,SE24.35732,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6IA01213,"BRIDGFORD, MICHAEL",H,IA,01,INDEPENDENT,C00884924,INDEPENDENT PAC,S,26-AUG-26,3255.0,NON CONTRIBUTION ACCT: SMS/MMS MESSAGING,PROMPT.IO INC.,2010154,SE24.35734,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6IL04195,"GETTY, CHRISTOPHER",H,IL,04,INDEPENDENT,C00884924,INDEPENDENT PAC,S,26-AUG-26,1875.0,NON CONTRIBUTION ACCT: SMS/MMS MESSAGING,PROMPT.IO INC.,2010154,SE24.35733,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H2KY04121,"Massie, Thomas",H,KY,04,REPUBLICAN PARTY,C00731133,Make Liberty Win,S,21-APR-26,12000.0,Carey Acct: P2P Texting,Prompt.io Inc.,1970824,EBF3C9DBB97164EB080C,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6GA14193,"Moore, Colton",H,GA,14,REPUBLICAN PARTY,C00731133,Make Liberty Win,S,06-FEB-26,6400.0,Carey Acct: P2P Texting (2/6 -3/10),Prompt.io Inc.,1946627,ECFEE47A5585F497FB9D,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H2NC06098,"ALLAM, NIDA",H,NC,04,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,26-FEB-26,121.37,Text Messaging - Estimate,Prompt.Io,1951026,500074395,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H8MO01143,"BUSH, CORI",H,MO,01,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,30-JUL-26,360.05,Text Messages - Estimate,Prompt.Io,2003480,500077877,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,S6MI00418,"EL-SAYED, ABDUL",S,MI,00,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,20-JUL-26,1284.05,Text Messages - Estimate,Prompt.Io,2001158,500077855,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,S6MI00418,"EL-SAYED, ABDUL",S,MI,00,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,22-JUL-26,25.67,Text Messages - Estimate,Prompt.Io,2002514,500077858,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,S6MI00418,"EL-SAYED, ABDUL",S,MI,00,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,27-JUL-26,255.94,Text Messages - Estimate,Prompt.Io,2002514,500077859,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,S6MI00418,"EL-SAYED, ABDUL",S,MI,00,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,28-JUL-26,278.23,Text Messages - Estimate,Prompt.Io,2002788,500077864,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6MI07298,"LAWRENCE, WILLIAM",H,MI,07,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,28-JUL-26,278.23,Text Messages - Estimate,Prompt.Io,2002788,500077862,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6MI07298,"LAWRENCE, WILLIAM",H,MI,07,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,22-JUL-26,25.67,Text Messages - Estimate,Prompt.Io,2002788,500077861,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6MI07298,"LAWRENCE, WILLIAM",H,MI,07,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,20-JUL-26,1284.05,Text Messages - Estimate,Prompt.Io,2001158,500077856,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,H6MI07298,"LAWRENCE, WILLIAM",H,MI,07,DEMOCRATIC PARTY,C00341396,MoveOn.Org Political Action,S,30-JUL-26,3.01,Text Messages - Estimate,Prompt.Io,2003480,500077876,prompt_io,Prompt.io,political_specific,high,communications_copy
2026,S6MI00418,"EL-SAYED, ABDUL",S,MI,00,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,19-MAY-26,2072.81,Text Messaging - Estimate,Prompt.io,1980116,500076218,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,26-MAY-26,183.35,Text Messaging - Estimate,Prompt.io,1980116,500076221,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,19-MAY-26,15.48,Text Messaging - Estimate,Prompt.io,1980116,500076220,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,10-JUN-26,243.73,Text Messaging - Estimate,Prompt.io,1984476,500076280,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,03-JUN-26,145.09,Text Messaging - Estimate,Prompt.io,1984476,500076279,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,18-JUN-26,4595.65,Text Messaging - Estimate,Prompt.io,1985405,500076286,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6NY10176,"LANDER, BRAD",H,NY,10,DEMOCRATIC PARTY,C00341396,MoveOn.org Political Action,S,18-JUN-26,1269.65,Text Messaging - Estimate,Prompt.io,1985405,500076285,prompt_io,Prompt.io,political_specific,high,unspecified
2026,H6KY04171,"GALLREIN, ED",H,KY,04,REPUBLICAN PARTY,C00528554,RJC Victory Fund,S,25-FEB-26,25000.0,Media Production,Aaru Inc,1950947,SE.5381,aaru,Aaru,political_specific,medium,unspecified
