spender_id,total_amount,total_count
C00000935,96432377.95,963
C00003418,773075.16,9
C00004036,4022057.55,142
C00007880,1400137.0,11
C00008086,1794.24,1
C00010363,7110.73,4
C00011114,4199966.58,43
C00012476,1129726.0,2
C00023838,114610.84,12
C00025254,17790.0,28
C00027466,33886638.07,85
C00029504,523150.0,9
C00030718,2951403.53,266
C00032979,10442.0,3
C00041160,1059022.02,54
C00041269,547750.0,5
C00042366,49453705.51,165
C00053553,6449241.45,664
C00075820,87126725.25,616
C00082917,200000.0,7
C00083279,647551.38,11
C00101105,148960.0,19
C00106146,1689839.3,9
C00130658,286060.0,23
C00140061,65891.25,8
C00147512,1252500.0,18
C00157537,1053.25,7
C00162339,9700.0,2
C00162818,33210.05,15
C00173153,440000.0,13
C00175521,66684.6,65
C00193441,131773.18,91
C00207944,4500.0,3
C00214981,159785.13,8
C00233239,9750.6,1
C00250753,12500.0,5
C00255752,98500.0,1
C00285593,28943.75,2
C00295527,70860.27,2
C00299396,69550.0,9
C00327189,777904.0,16
C00331454,46035.5,5
C00341396,3213766.81,168
C00343137,86737.52,5
C00343459,471381.24,10
C00348540,1483064.17,18
C00359539,24517.2,4
C00365536,5196146.63,52
C00382424,17734.35,3
C00390526,4650.0,6
C00401786,97000.0,6
C00405878,3800.0,6
C00409730,199953.0,8
C00418897,22855451.25,122
C00428557,123608.18,31
C00429175,10000.0,1
C00430280,64735.0,50
C00432260,379080.08,316
C00441352,60740.0,1
C00448696,3054918.02,967
C00449926,285359.0,5
C00453704,69364.58,138
C00455923,25695.45,10
C00469890,1777935.49,9
C00473918,29853977.67,180
C00476978,991911.16,11
C00480863,40000.0,2
C00483693,22261.42,16
C00483883,498500.0,8
C00484253,211887.2,4
C00484642,160068428.87,346
C00486845,33252485.64,469
C00487363,6810847.25,27
C00487470,69773193.63,1210
C00487827,6939.69,8
C00488338,347805.0,7
C00488486,546625.22,56
C00488494,89500.0,5
C00488742,8501464.53,59
C00489252,12896.3,47
C00489625,36344.5,3
C00489799,6793293.87,281
C00489815,314727.0,1
C00489856,2478927.18,23
C00490375,1076276.02,50
C00490896,8757.68,1
C00492116,81812.61,4
C00492140,4272904.0,10
C00493221,312678.0,123
C00494021,364133.3,13
C00495010,3299.08,7
C00495028,145159506.43,1124
C00495861,15879431.16,134
C00499020,1043262.49,49
C00504530,226925785.93,2326
C00508440,705151.26,69
C00509463,149954.82,93
C00509893,1971654.49,120
C00510701,18093.0,6
C00513176,1590188.7,31
C00514224,166485.0,10
C00516500,363984.02,14
C00519363,220600.0,1
C00519413,25000.0,1
C00521013,829100.73,37
C00522425,62685.65,3
C00523241,495984.0,50
C00523498,54007.0,8
C00523621,1043721.75,107
C00524181,1028709.39,25
C00525824,10000.0,1
C00526673,981187.72,38
C00527226,3000.0,3
C00528554,2952174.85,8
C00528901,84012.49,6
C00530766,6045655.79,262
C00531814,329252.77,20
C00532572,82500.0,2
C00532630,13615268.83,42
C00532705,1068690.0,4
C00536540,3165.16,2
C00540203,6540931.02,77
C00540443,5045048.27,5
C00541433,226270.0,10
C00542464,500000.0,1
C00544387,1491796.17,28
C00544551,1799433.97,18
C00544767,2524915.0,79
C00545152,1732833.6,39
C00547349,740227.11,61
C00548867,12688.5,4
C00550970,432955.8,23
C00551853,17490.83,52
C00552851,2628223.18,1035
C00556860,35490.97,14
C00559740,30207.72,4
C00559906,3329813.0,30
C00562595,5169198.84,57
C00562777,269657.34,9
C00563254,61431.71,208
C00563429,19339.62,4
C00567313,159126.1,11
C00568170,38897.33,11
C00568444,5460775.0,34
C00569392,20000.0,2
C00569616,39786.09,3
C00570226,505000.0,39
C00570416,26126.05,10
C00571588,2983800.82,44
C00571703,245522419.11,539
C00573261,5984364.82,180
C00582700,446620.25,18
C00587022,251532.24,23
C00592808,169123.5,37
C00594507,28058.32,2
C00606962,9678161.78,286
C00607374,948240.11,115
C00608943,2035000.0,51
C00609388,8928649.83,99
C00609776,2564.0,2
C00612820,362510.06,213
C00613489,52249.74,54
C00615377,3752.64,3
C00620021,2475.0,2
C00620476,3455405.98,14
C00620971,2116384.68,317
C00621185,8000.0,2
C00622464,115897.37,354
C00622472,1081993.72,761
C00623421,914700.0,29
C00623595,14000.0,2
C00624817,110000.0,2
C00624890,89696.41,28
C00625566,94166.84,5
C00626861,165528.85,8
C00627141,26355.49,4
C00628115,26287.22,4
C00629147,174192.59,7
C00629477,2251.03,3
C00630665,2674642.59,43
C00630830,2483.81,1
C00631903,287138.98,3
C00632398,646621.93,112
C00632679,82990.34,39
C00633248,1675906.05,18
C00634261,3363424.52,74
C00635243,9400.0,1
C00635664,21800.0,15
C00637041,2773021.34,59
C00640300,49105.45,41
C00647966,184817.18,15
C00648717,10075.0,1
C00648808,74607.71,13
C00651091,40202.33,4
C00653030,1749.76,2
C00653386,518890.44,765
C00654764,906862.23,15
C00654814,9390.0,4
C00656314,14000.0,5
C00657866,7700561.29,76
C00658815,61353.24,9
C00659011,1999331.31,34
C00659219,1007366.09,27
C00662072,2929332.71,117
C00662221,5169320.93,84
C00663724,38228.94,9
C00667790,404073.48,502
C00667865,1522467.44,573
C00668517,445847.33,55
C00668905,2792873.62,55
C00669259,13521128.13,30
C00671388,44764.4,7
C00671669,91619.53,8
C00671685,483981.86,783
C00672394,215583.76,5
C00674093,79746.44,6
C00674697,104369.29,79
C00675397,26113.69,6
C00678839,732325.36,197
C00679159,33619.54,8
C00680314,23467.0,4
C00680983,99982.54,3
C00681478,164326.7,4
C00681825,2195058.69,591
C00684258,92862.37,12
C00684969,706902.62,137
C00685289,703506.15,49
C00685297,22260.0,1
C00685552,102695.36,6
C00685693,1253247.2,337
C00685768,25000.0,1
C00685982,253555.4,792
C00686832,66505.99,15
C00687103,67993745.03,2463
C00687848,86521.42,19
C00688580,159703.0,2
C00688655,6691530.55,66
C00689356,66707.12,8
C00690263,20000.0,1
C00690776,16199.26,2
C00690867,44388.46,11
C00691790,110000.0,8
C00691949,28750.0,2
C00692129,3000.0,6
C00692319,1210666.96,42
C00693317,198169.85,7
C00693531,189424.0,19
C00693606,55000.0,1
C00693838,945846.56,11
C00694430,1000000.0,1
C00695981,33671.64,10
C00696112,10000.0,2
C00698936,7706359.76,76
C00699801,364674.8,793
C00701797,63856.0,4
C00701805,190454.45,6
C00707844,6915455.06,89
C00709113,9843.3,4
C00709691,67450.0,20
C00710178,2956876.67,775
C00710616,29727.44,1
C00710848,7129023.9,168
C00712109,5000.0,1
C00712885,429624.98,778
C00715433,190200.0,11
C00716704,245085.0,3
C00717223,162800.0,12
C00717728,100000.0,10
C00718510,213488.36,13
C00718841,1505076.23,21
C00720029,2746.0,3
C00720540,40990.72,64
C00721688,15891.52,4
C00722025,202000.0,6
C00722371,211289.53,39
