filer_cpf_id,party
10633,Republican
10866,Democratic
13736,Democratic
13811,Democratic
14232,Republican
14454,Democratic
14831,Republican
15006,Republican
15011,Republican
15129,
15297,Democratic
15376,Democratic
15563,Democratic
15797,Democratic
15799,Democratic
15809,Republican
15829,Democratic
16300,Democratic
16407,Democratic
16408,Democratic
16576,Democratic
16668,Democratic
16742,Democratic
16893,Democratic
16962,Democratic
16979,
16987,Democratic
17206,Democratic
17207,Democratic
17289,
17478,Democratic
17550,Democratic
17555,Democratic
17591,Democratic
17605,Democratic
17673,
17680,Democratic
17681,Democratic
17699,Democratic
17784,
17814,Democratic
17889,Republican
17927,Democratic
18331,Democratic
18345,Democratic
18441,Democratic
18730,Democratic
18740,Democratic
18824,Democratic
18877,Democratic
18885,Republican
18943,Democratic
19366,Republican
19431,Republican
19658,
19677,Democratic
19728,Democratic
76148,Republican
95538,
