filer_cpf_id,year,total_expenditure
10128,2023,8624.23
10128,2024,66655.51
10128,2025,4193.05
10128,2026,23271.01
10176,2023,15766.0
10176,2024,19373.58
10176,2025,93919.91
10176,2026,52113.84
10234,2023,9015.0
10234,2024,8635.0
10234,2025,7996.0
10234,2026,9850.0
10250,2023,112.5
10250,2024,180.0
10250,2025,180.0
10250,2026,120.0
10303,2024,15220.71
10320,2023,24421.18
10320,2024,40728.4
10320,2025,29744.2
10320,2026,61406.92
10328,2023,22884.5
10328,2024,24904.99
10328,2025,26766.69
10328,2026,16167.38
10383,2023,60.0
10383,2024,40.0
10383,2025,25.0
10383,2026,5.0
10389,2024,20.0
10585,2023,1498.13
10585,2024,3550.0
10585,2025,356.73
10595,2023,60489.89
10595,2024,43207.27
10595,2025,57944.48
10595,2026,39115.79
10598,2023,2860.14
10598,2024,2453.72
10598,2025,2503.54
10598,2026,870.41
10608,2023,4242.63
10608,2024,37625.67
10608,2025,4750.38
10608,2026,16094.24
10609,2023,2172.65
10609,2024,32363.0
10609,2025,20634.24
10633,2023,11554.89
10633,2024,32870.63
10633,2025,44418.86
10633,2026,165878.37
10681,2023,1687.0
10681,2024,3668.0
10681,2025,2600.0
10681,2026,2412.83
10698,2023,883.93
10725,2023,4483.74
10725,2024,23062.15
10725,2025,853.0
10848,2024,5440.21
10866,2023,42025.04
10866,2024,43130.97
10866,2025,41718.45
10866,2026,23852.65
10911,2023,4879.94
10911,2024,40.0
10911,2025,6.0
10924,2023,116559.51
10924,2024,642.16
10933,2023,37488.93
10933,2024,25150.0
10933,2025,8650.0
10933,2026,6744.14
11034,2023,302471.88
11034,2024,1020221.51
11034,2025,674611.72
11034,2026,1611150.42
11035,2023,435730.72
11035,2024,744644.34
11035,2025,617074.1
11035,2026,1016262.27
11071,2023,225.0
11071,2024,25905.0
11071,2025,5685.0
11071,2026,9280.0
11102,2023,3400.0
11102,2024,5160.45
11102,2025,9601.45
11102,2026,5332.0
11111,2025,71.73
11111,2026,20.0
11119,2023,14299.32
11119,2024,10182.44
11119,2025,15551.32
11119,2026,13051.25
11155,2023,46155.89
11155,2024,68348.62
11155,2025,19357.48
11155,2026,867.78
11323,2023,856.83
11413,2023,146266.4
11413,2024,65007.83
11413,2025,106695.44
11413,2026,63286.95
11448,2023,23538.13
11448,2024,17076.59
11448,2025,23530.46
11448,2026,21378.0
11466,2023,14530.53
11466,2024,9399.19
11466,2025,2053.2
11466,2026,1322.18
11519,2023,6757.9
11519,2024,8019.18
11519,2025,6405.76
11519,2026,4308.38
11651,2023,69297.85
11651,2024,69296.99
11651,2025,71325.41
11651,2026,51727.36
11677,2023,46077.51
11677,2024,16961.1
11677,2025,15945.76
11677,2026,5239.96
11698,2023,12614.12
11698,2024,26169.49
11698,2025,17143.69
11698,2026,10855.22
11699,2023,4305.82
11699,2024,2664.0
11699,2025,3231.33
11699,2026,1814.0
11702,2023,1224.41
11702,2024,2913.86
11702,2025,2824.86
11702,2026,2833.23
11723,2024,6000.0
11723,2025,5000.0
11824,2023,236.0
11824,2024,333.0
11824,2025,336.0
11824,2026,224.0
11853,2023,43028.97
11853,2024,23000.0
11853,2025,15477.97
11853,2026,10595.33
11859,2023,5971.28
11859,2024,12195.76
11859,2025,5999.42
11859,2026,3929.71
11916,2023,38130.89
11916,2024,63641.51
11916,2025,59050.13
11916,2026,28230.77
11996,2023,26150.92
12008,2023,1978.86
12008,2024,11113.27
12008,2025,7959.39
12008,2026,5730.68
12009,2023,2739.45
12009,2024,8126.36
12023,2023,956.25
