record_id,report_id,filer_cpf_id,filer_name,date,amount,vendor,clarified_name,purpose,clarified_purpose,record_type_description,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
1853763,972693,17605,"Abdikarim, Said",4/9/2025,130.05,GRAMMARLY CO*Z,,DBT PURCHASE          ,campaign communication editing,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=972693,grammarly,Grammarly,general_purpose,legacy,high
1922644,1005022,17680,"Alinsug, Constantino",12/26/2025,153.0,Grammarly,,,1 year membership ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1005022,grammarly,Grammarly,general_purpose,legacy,high
1683251,886502,17206,"Azeem, Burhan",6/28/2023,153.0,GRAMMARLY COEQTEEX,,POS DEBIT             ,Writing support software,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=886502,grammarly,Grammarly,general_purpose,legacy,high
1957297,1022266,10866,"Barrett, Michael J.",2/9/2026,5.31,0208 ANTHROPIC                                   ANTHROPIC.COMCA 24011346039100135389689 RECURRING,Anthropic,PURCHASE   ,annual subscription to AI research tool,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1022266,anthropic,Anthropic (Claude),general_purpose,generative,high
1846571,969064,10866,"Barrett, Michael J.",3/3/2025,180.0,0228 READ - MEETING MANAGER                      READ.AI      WA 24492165060500004962009 RECURRING,Microsoft,PURCHASE   ,AI text analysis softward,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=969064,read_ai,Read.ai,general_purpose,generative,high
1957299,1022266,10866,"Barrett, Michael J.",2/9/2026,212.5,CLAUDE.AI SUBSCRIPTION                      ANTHROPIC.COMCA 24011346039100109870326 RECURRING,Anthropic,02/08 PURCHASE ,subscription to AI software,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1022266,anthropic,Anthropic (Claude),general_purpose,generative,high
1957475,1022299,10866,"Barrett, Michael J.",3/2/2026,191.25,READ - MEETING MANAGER                      READ.AI      WA 24492166060100011381844 RECURRING,Read.ai,PURCHASE   0228,annual renewal of online meeting tool,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1022299,read_ai,Read.ai,general_purpose,generative,high
2008039,1042383,14831,"Boldyga, Nick",8/23/2026,100.0,GROK XAI,,Cloud-based Workflow Service,,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1042383,xai_grok,xAI (Grok),general_purpose,generative,high
1955442,1020442,14831,"Boldyga, Nick",3/3/2026,212.5,OPENAI,,Cloud-based Workflow Service - ( Office & Campaign),,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1020442,openai,OpenAI (ChatGPT),general_purpose,generative,high
1961483,1024065,14831,"Boldyga, Nick",4/3/2026,212.5,OPENAI,,Cloud-based Workflow Service - ( Office & Campaign),,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1024065,openai,OpenAI (ChatGPT),general_purpose,generative,high
1972985,1028960,14831,"Boldyga, Nick",5/3/2026,21.25,OPENAI,,Cloud-based Workflow Service - ( Office & Campaign),,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1028960,openai,OpenAI (ChatGPT),general_purpose,generative,high
1980953,1032274,14831,"Boldyga, Nick",6/3/2026,21.25,OPENAI,,Cloud-based Workflow Service (office & Campaign),,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1032274,openai,OpenAI (ChatGPT),general_purpose,generative,high
1987499,1036150,14831,"Boldyga, Nick",7/3/2026,21.25,OPENAI,,Cloud-based Workflow Service,,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1036150,openai,OpenAI (ChatGPT),general_purpose,generative,high
