report_id,date_filed,report_type,is_amendment
869908,2/2/2023,Bank Report,False
870530,2/6/2023,Bank Report,False
874874,4/3/2023,Bank Report,False
875984,4/4/2023,Bank Report,False
886502,7/5/2023,Bank Report,False
898141,10/3/2023,Bank Report,False
902280,11/1/2023,Bank Report,False
905822,11/30/2023,External Activity Report,False
916599,2/2/2024,Bank Report,False
916704,2/2/2024,Bank Report,False
916971,2/5/2024,Bank Report,False
919448,3/4/2024,Bank Report,False
922087,4/1/2024,Bank Report,False
922373,4/2/2024,Bank Report,False
926510,5/3/2024,Bank Report,False
926545,5/3/2024,Bank Report,False
928820,6/3/2024,Bank Report,False
929064,6/3/2024,Bank Report,False
930341,6/5/2024,Bank Report,False
932490,7/1/2024,Bank Report,False
933619,7/3/2024,Bank Report,False
936124,8/1/2024,Bank Report,False
936309,8/1/2024,Bank Report,False
936869,8/2/2024,Bank Report,False
937212,8/2/2024,Bank Report,False
937541,8/5/2024,Bank Report,False
940936,9/3/2024,Bank Report,False
941614,9/4/2024,Bank Report,False
941984,9/4/2024,Bank Report,False
942035,9/4/2024,Bank Report,False
945613,10/2/2024,Bank Report,False
945909,10/3/2024,Bank Report,False
946006,10/3/2024,Bank Report,False
949623,11/1/2024,Bank Report,False
950834,11/4/2024,Bank Report,False
957792,1/4/2025,Bank Report,False
961911,2/3/2025,Bank Report,False
962609,2/3/2025,Bank Report,False
962880,2/4/2025,Bank Report,False
964356,3/3/2025,Bank Report,False
965594,3/4/2025,Bank Report,False
968597,4/2/2025,Bank Report,False
968974,4/3/2025,Bank Report,False
969045,4/3/2025,Bank Report,False
969064,4/3/2025,Bank Report,False
971329,5/1/2025,Bank Report,False
971401,5/1/2025,Bank Report,False
972693,5/5/2025,Bank Report,False
972707,5/5/2025,Bank Report,False
972709,5/5/2025,Bank Report,False
974815,6/2/2025,Bank Report,False
974995,6/2/2025,Bank Report,False
975685,6/3/2025,Bank Report,False
975818,6/3/2025,Bank Report,False
976432,6/5/2025,Bank Report,False
978766,7/1/2025,Bank Report,False
979586,7/2/2025,Bank Report,False
979641,7/2/2025,Bank Report,False
980126,7/3/2025,Bank Report,False
982767,8/1/2025,Bank Report,False
983277,8/1/2025,Bank Report,False
983703,8/4/2025,Bank Report,False
983824,8/4/2025,Bank Report,False
984331,8/4/2025,Bank Report,False
984586,8/5/2025,Bank Report,False
984807,8/5/2025,Bank Report,False
985628,8/12/2025,Credit Card Report,False
987176,9/2/2025,Bank Report,False
987892,9/2/2025,Bank Report,False
987998,9/3/2025,Bank Report,False
988017,9/3/2025,Bank Report,False
988027,9/3/2025,Bank Report,False
988303,9/3/2025,Bank Report,False
988643,9/4/2025,Bank Report,False
988897,9/4/2025,Credit Card Report,False
989102,9/5/2025,Bank Report,False
991955,10/2/2025,Bank Report,False
992083,10/2/2025,Bank Report,False
992714,10/3/2025,Bank Report,False
992931,10/3/2025,Bank Report,False
992979,10/3/2025,Bank Report,False
993060,10/3/2025,Bank Report,False
993206,10/3/2025,Bank Report,True
993299,10/4/2025,Bank Report,False
993307,10/4/2025,Bank Report,True
996934,11/3/2025,Bank Report,False
997939,11/4/2025,Bank Report,False
997996,11/4/2025,Bank Report,False
998099,11/4/2025,Bank Report,False
998129,11/4/2025,Bank Report,False
998157,11/4/2025,Bank Report,False
998452,11/5/2025,Bank Report,False
998504,11/5/2025,Bank Report,False
998540,11/5/2025,Bank Report,False
998583,11/5/2025,Bank Report,False
998676,11/5/2025,Credit Card Report,True
998677,11/5/2025,Credit Card Report,True
1000680,12/1/2025,Bank Report,False
1000757,12/1/2025,Bank Report,False
1001876,12/3/2025,Bank Report,False
1001884,12/3/2025,Bank Report,False
1002084,12/4/2025,Bank Report,False
1002117,12/4/2025,Credit Card Report,False
1002229,12/4/2025,Bank Report,False
1002336,12/4/2025,Bank Report,False
1002412,12/4/2025,Bank Report,False
