cmte_id,total_amount,total_count
C00000935,6217276.0,173
C00003111,28687.0,2
C00003418,5411.0,7
C00003988,25907.0,3
C00004606,103000.0,1
C00006486,70905.0,22
C00008086,34687.0,1
C00008664,622881.0,8
C00010603,939100.0,73
C00013748,5040.0,1
C00018929,208099.0,4
C00019380,6600.0,1
C00027466,15569041.0,46
C00031088,15601.0,7
C00033134,125000.0,1
C00035600,20000.0,1
C00038505,286145.0,23
C00041269,5603.0,1
C00042366,7156091.0,18
C00043919,22551.0,4
C00044776,18262.0,1
C00071365,2937.0,3
C00074450,22504.0,3
C00075820,8301206.0,86
C00089482,61971.0,1
C00099259,223615.0,33
C00105668,140000.0,6
C00108613,31128.0,11
C00114439,575000.0,4
C00135558,503391.0,5
C00141812,108511.0,14
C00143230,68828.0,3
C00153031,62479.0,74
C00156810,7362.0,1
C00164418,94330.0,9
C00167015,314395.0,7
C00167346,30809.0,4
C00179408,54999.0,2
C00188367,15871.0,13
C00191247,96580.0,3
C00211763,78430.0,1
C00212787,36266.0,10
C00350991,37444.0,6
C00354332,6192.0,2
C00428649,7397.0,3
C00434076,1000.0,1
C00538975,8250.0,4
C00563247,2500.0,1
C00656264,2500.0,1
C00668491,130000.0,3
C00713511,6400.0,4
C00827121,35000.0,2
