cmte_id,total_amount,total_count
C00000422,117207.17,49
C00000489,500.0,1
C00000729,37197.41,42
C00000885,88911.0,7
C00000901,84610.78,38
C00000935,118946812.62,17698
C00000984,144.0,1
C00001016,100791.58,16
C00001198,7916.48,29
C00001305,563639.76,141
C00001313,1635771.66,1119
C00001388,22954.78,23
C00001636,1000.0,1
C00001727,31317.43,207
C00001743,113141.27,36
C00001917,104532.37,181
C00002089,471582.83,66
C00002238,24647.62,64
C00002261,529.31,1
C00002469,10207.5,1010
C00002766,181617.11,33
C00002832,17558.75,7
C00002840,1309459.71,81
C00002881,642.0,7
C00002907,869.35,1
C00002972,31122.7,5
C00003111,102286.9,207
C00003160,36671.62,20
C00003194,5618.5,14
C00003251,50845.36,19
C00003418,170378427.79,11449
C00003558,31565.67,70
C00003590,114099.63,50
C00003632,98371.38,23
C00003764,23944.38,58
C00003855,57150.32,33
C00003863,1538.63,15
C00003988,83590.74,29
C00004036,6509886.53,120
C00004101,567.04,4
C00004325,340128.15,54
C00004606,400859.15,133
C00004812,58799.95,65
C00004861,3159.46,3
C00004879,2984.0,1
C00004911,8844.27,23
C00004994,1049.34,41
C00005157,21440.96,21
C00005173,55454.43,19
C00005249,27601.53,3
C00005462,82151.91,45
C00005561,1243517.46,467
C00005660,20460.58,9
C00005785,87445.73,231
C00005801,361.0,1
C00005926,816354.73,610
C00006080,11723.82,40
C00006486,122734.35,33
C00007450,448.46,11
C00007542,6555.24,19
C00007658,64947.06,20
C00007880,76408.35,89
C00007898,25274.96,9
C00007922,13177.35,30
C00007948,720.4,19
C00008078,70.0,1
C00008086,212107.55,266
C00008169,750.0,1
C00008227,422633.2,382
C00008268,9548.48,3
C00008474,505.23,3
C00008664,153202.35,30
C00008748,714.35,1
C00008839,5277.48,48
C00009282,3266.91,42
C00009423,689.5,18
C00009704,1165.14,5
C00009845,64112.23,17
C00009936,29943.35,40
C00009985,22804.4,30
C00010033,251599.89,393
C00010082,1630.77,13
C00010124,24598.48,45
C00010363,130534.8,55
C00010421,337.58,6
C00010439,76192.8,168
