filer_id,year,total_expenditure
(ANGM--278,2025,539.69
(WRIA--739,2026,1281.67
----A--097,2024,1520.11
----A--097,2026,967.29
----A--789,2023,1610.57
----E--747,2026,30687.27
----H--527,2026,106216.01
----P--629,2025,341621.03
1---C--353,2023,25061.54
1---N--683,2023,384917.34
1---N--683,2024,10112.0
1---N--683,2025,493.89
1---Y--457,2023,1860.0
10THDDN257,2023,5467.01
10THDDN257,2024,38220.18
10THDDN257,2025,3321.34
10THDDN257,2026,2539.54
10THDP 223,2024,1225.0
1199NP 119,2023,270848.14
1199NP 119,2024,613845.9
1199NP 119,2025,483795.61
1199NP 119,2026,178652.94
11THDR 126,2024,3001.28
11THDR 126,2025,2271.14
11THDR 126,2026,2374.09
12THLD 801,2023,391.17
12THLD 801,2024,3162.67
12THLD 801,2025,1907.36
12THLD 801,2026,2092.06
16THLD 362,2023,942.75
16THLD 362,2024,7127.0
16THLD 362,2025,252.29
16THLD 362,2026,100.24
17THDR 683,2023,478.49
17THDR 683,2024,4997.96
17THDR 683,2025,8689.79
17THDR 683,2026,8327.14
17THLDN682,2023,5222.03
17THLDN682,2024,8531.99
17THLDN682,2025,2491.87
17THLDN682,2026,7888.08
18THLD 674,2023,3820.81
18THLD 674,2024,33284.95
18THLD 674,2025,3805.95
18THLD 674,2026,15088.05
18THLD 685,2023,176.0
18THLD 685,2024,2627.0
18THLD 685,2025,192.0
18THLD 685,2026,196.0
19THLD 527,2023,560.37
19THLD 527,2024,600.0
1STDDN 011,2023,9886.3
1STDDN 011,2024,13204.93
1STDDN 011,2025,16147.39
1STDDN 011,2026,9292.91
2---V--582,2025,2735.31
2---Y--150,2025,24316.03
2---Y--150,2026,454.22
2023B--586,2023,7142.0
2023S--916,2023,9817.0
2024K--805,2024,446606.72
2024K--805,2025,4420.37
2024T--550,2023,4671.34
2024T--550,2024,147736.7
2024Y--107,2023,3249.84
2024Y--107,2024,8669.48
2025L--728,2025,9502.53
2026T--188,2025,7927.18
2026T--188,2026,99126.83
2066N--247,2024,314814.02
20THLDN531,2024,1746.74
20THLDN531,2025,754.81
20THLDN531,2026,838.67
2117N--749,2024,16640409.78
2117N--749,2025,109303.03
2124N--411,2024,13388641.99
2124N--411,2025,14117.24
21STDR 026,2025,3360.71
21STDR 026,2026,208.0
21STLD 036,2023,1543.52
21STLD 036,2024,1573.98
21STLD 036,2025,727.36
21STLD 036,2026,1269.43
21STLDV036,2023,1077.09
21STLDV036,2024,2262.48
21STLDV036,2025,3000.43
21STLDV036,2026,1034.64
23-0N--944,2023,-17299.26
23-0N--944,2024,183812.39
23RDDD 370,2023,28075.66
23RDDD 370,2024,57248.57
23RDDD 370,2025,37746.83
23RDDD 370,2026,10295.17
23RDLDN337,2023,4357.2
23RDLDN337,2024,1392.57
23RDLDN337,2025,1107.7
23RDLDN337,2026,3561.4
24--W--554,2024,540147.5
24THLD 362,2023,896.35
24THLD 362,2024,10103.37
24THLD 362,2025,510.73
24THLR 362,2023,520.81
24THLR 362,2024,2829.97
24THLR 362,2025,636.24
24THLR 362,2026,506.58
25THDR 374,2023,432.0
25THDR 374,2024,545.21
25THDR 374,2025,145.6
25THLDV373,2023,9402.06
25THLDV373,2024,15868.21
25THLDV373,2025,14237.57
25THLDV373,2026,8306.57
26THDR 335,2023,796.6
26THDR 335,2024,262.0
26THLDN335,2023,15975.75
26THLDN335,2024,64612.84
26THLDN335,2025,59929.18
26THLDN335,2026,44099.59
27THDD 403,2023,20.75
27THDDE403,2023,11620.09
27THDDE403,2024,9977.3
27THDDE403,2025,1179.16
27THDDE403,2026,946.63
2876Y--855,2023,26380.0
28THDR 467,2024,1600.71
28THDR 467,2025,643.88
28THDR 467,2026,30.0
28THLD 497,2023,1124.89
28THLD 497,2024,3984.23
28THLD 497,2025,1266.75
28THLDV497,2023,103.78
28THLDV497,2024,22940.96
28THLDV497,2025,9508.64
28THLDV497,2026,22167.24
2903P--072,2023,16173.69
29THDD 408,2023,1497.84
29THDD 408,2024,5143.22
29THDD 408,2025,947.27
29THDD 408,2026,842.09
2ND DL 580,2026,2500.0
2NDLDV 387,2023,6627.47
2NDLDV 387,2024,9480.99
2NDLDV 387,2025,8158.76
2NDLDV 387,2026,4046.56
30THDDN063,2023,5415.08
30THDDN063,2024,15864.21
30THDDN063,2025,17179.45
30THDDN063,2026,3957.68
30THDRC001,2025,423.13
31STDC 002,2023,5177.82
31STDC 002,2024,8913.82
31STDC 002,2025,5526.09
31STDC 002,2026,5038.7
31STDCE002,2023,242.87
31STDCE002,2024,442.36
31STDCE002,2025,1726.33
31STDCE002,2026,658.83
31STDRN372,2023,2528.26
31STDRN372,2024,1905.32
31STDRN372,2025,1374.95
31STDRN372,2026,313.35
32NDDC 133,2023,5279.95
32NDDC 133,2024,6571.59
32NDDC 133,2025,4881.65
32NDDC 133,2026,4074.93
33RDDD 198,2023,6256.63
33RDDD 198,2024,11128.86
33RDDD 198,2025,9446.06
33RDDD 198,2026,3254.53
34THDD 116,2023,36066.23
34THDD 116,2024,43398.16
34THDD 116,2025,47358.72
34THDD 116,2026,26875.06
35THLDP367,2023,1222.92
35THLDP367,2024,8255.47
35THLDP367,2025,5141.16
35THLDP367,2026,5424.41
36THDPN107,2023,8951.11
36THDPN107,2024,12278.7
36THDPN107,2025,12590.57
36THDPN107,2026,3767.24
36THDRN121,2024,234.65
36THDRN121,2026,200.69
37THDL 118,2023,15591.98
37THDL 118,2024,17741.92
37THDL 118,2025,10254.6
37THDL 118,2026,8233.43
38THDCF201,2023,3643.24
38THDCF201,2024,10361.34
38THDCF201,2025,1532.08
38THDCF201,2026,98.24
38THDD 201,2023,842.67
38THDD 201,2024,5903.81
38THDD 201,2025,2058.58
38THDD 201,2026,3879.34
3LDRCC-205,2023,1093.25
3RD LD 205,2023,141.27
3RD LD 205,2024,1813.94
3RD LD 205,2025,17631.46
3RD LD 205,2026,3122.76
3RD LDE202,2023,841.69
3RD LDE202,2024,1575.27
3RD LDE202,2025,838.14
3RD LDE202,2026,13746.47
4---C--321,2024,8930.0
4---N--543,2023,26683.35
41STDDE040,2023,5059.13
41STDDE040,2024,572.94
41STDDE040,2025,5110.8
41STDDE040,2026,2355.93
41STDDN040,2023,35977.27
41STDDN040,2024,10387.81
41STDDN040,2025,54105.57
41STDDN040,2026,4422.39
42NDLD 225,2023,2528.23
42NDLD 225,2024,19817.47
42NDLD 225,2025,10839.4
42NDLD 225,2026,3142.91
42NDLR 225,2023,3740.0
42NDLR 225,2024,2706.88
42NDLR 225,2026,13431.83
42NDLRE225,2023,211.94
42NDLRE225,2024,4.0
43RDDD 102,2023,8848.05
43RDDD 102,2024,3330.99
43RDDD 102,2025,11349.18
43RDDD 102,2026,3672.68
43RDDR 101,2025,100.0
43RDDRE101,2025,311.0
44THLD 082,2023,6882.89
44THLD 082,2024,7860.96
44THLD 082,2025,6715.27
44THLD 082,2026,8959.68
45THDD 033,2023,10662.6
45THDD 033,2024,24271.83
45THDD 033,2025,18454.23
45THDD 033,2026,8292.37
45THDE 073,2024,1929.36
45THLD 034,2024,500.0
45THLD 034,2025,1593.82
45THLD 034,2026,1104.57
45THLE 034,2023,2889.66
45THLE 034,2024,6720.21
45THLE 034,2025,2154.39
45THLE 034,2026,1715.15
46THDD 115,2023,24125.82
46THDD 115,2024,21500.83
46THDD 115,2025,17557.17
46THDD 115,2026,14474.9
47THDD 064,2023,6007.37
47THDD 064,2024,4716.95
47THDD 064,2025,6377.77
47THDD 064,2026,2328.04
47THDR 058,2023,5787.84
47THDR 058,2024,11338.17
47THDR 058,2025,8076.39
47THDR 058,2026,12036.47
48THDD 008,2023,79.45
48THDD 008,2024,9785.48
48THDD 008,2025,24296.96
48THDD 008,2026,10643.72
48THDE-008,2023,437.28
48THDE-008,2024,4022.85
48THDR 033,2023,564.0
48THDR 033,2024,2284.4
48THDR 033,2025,755.57
48THDR 033,2026,464.0
49THDR 662,2023,517.28
49THDR 662,2024,1749.88
49THDR 662,2025,334.16
49THDR 662,2026,55.28
49THLDN668,2024,3504.59
49THLDN668,2025,1029.6
49THLDN668,2026,224.4
5599R--011,2023,24032.44
5599R--011,2024,4045.92
5599R--011,2025,3546.08
5599R--011,2026,171.3
5TH DDC058,2023,14960.95
5TH DDC058,2024,29813.26
5TH DDC058,2025,35685.85
5TH DDC058,2026,18105.19
5THDDE 058,2023,132.0
6---F--730,2025,2468.57
6---F--730,2026,89.06
645-N--960,2026,429686.81
663-F--252,2025,12256.29
6TH LD 203,2023,1883.9
6TH LD 203,2024,1604.87
6TH LD 203,2025,73.93
6TH LD 203,2026,32.63
6TH LDE203,2023,823.21
6TH LDE203,2024,1583.62
6TH LDE203,2025,650.78
6TH LDE203,2026,148.24
6TH LDN220,2023,167.93
6TH LDN220,2024,147.7
6TH LDN220,2025,1003.0
7TH DR 173,2023,4193.33
7TH DR 173,2024,17765.53
7TH DR 173,2025,9006.22
7TH DR 173,2026,774.94
7TH LD 026,2023,555.56
7TH LD 026,2024,8651.58
7TH LD 026,2025,96.01
7TH LD 026,2026,1283.94
864-V--733,2023,2036.7
864-V--733,2025,2404.76
8TH LD 352,2023,317.39
8TH LD 352,2024,1039.44
8TH LD 352,2025,4253.74
8TH LD 352,2026,1441.99
8THLE--338,2023,250.0
8THLE--338,2024,355.81
8THLE--338,2025,173.81
8THLE--338,2026,220.0
911-C--464,2024,15906.14
911-C--882,2023,2227.98
911-C--882,2024,1677.0
925-S--110,2024,70000.0
925-S--110,2025,10000.0
925-S--110,2026,36225.0
9TH LD 004,2023,223.59
9TH LD 004,2024,1643.73
9TH LD 004,2025,7.53
9TH LD 004,2026,782.04
ABBAP  531,2023,24023.83
ABBAP  531,2024,141079.16
ABBAP  531,2025,53990.81
ABBAP  531,2026,113393.6
ABC WW 004,2023,51445.0
ABC WW 004,2024,75160.0
ABC WW 004,2025,43520.0
ABC WW 004,2026,67786.05
ABDIM--168,2025,1157.8
ABDUB--918,2025,2592.81
ABDUS--759,2025,42936.37
ABELH--459,2024,55127.43
ABELH--459,2025,5900.86
ABELH--459,2026,49181.44
ABETA--662,2023,1466.25
ABETA--662,2024,27375.26
ABETA--662,2025,15004.31
ABETA--662,2026,80.0
ABRAT--232,2025,500.0
ACCOC--121,2023,1938.0
ACCOC--121,2024,2017.0
ACTI4--072,2025,1865.0
ACTI4--072,2026,6669.66
ACTIID 408,2023,28996.25
ACTIID 408,2024,92133.6
ACTIID 408,2025,66846.72
ACTIID 408,2026,20103.61
ADAMM--911,2026,5538.11
ADAMT--317,2026,3674.58
ADDAM--799,2026,23059.15
ADEMA--230,2023,5738.98
ADEMJ--014,2025,5476.16
ADKIC  045,2024,2299.2
ADKIC  045,2025,814.49
ADKIC  045,2026,418.35
ADKIC 045,2023,28499.15
ADKIC 045,2024,1058.12
ADLEL--875,2023,14248.69
ADLEL--875,2024,253.6
AFFOHC 004,2023,502158.09
AFFOHC 004,2024,107557.07
AFFOHC 004,2025,494669.9
AFFOHC 004,2026,122626.61
AFFOHC 312,2023,1000.0
AFFOHC 312,2024,26100.0
AFFOHC 312,2026,500.0
AFFOHC 902,2023,27925.71
AFFOHC 902,2024,20930.0
AFFOHC 902,2025,17261.54
AFFOHC 902,2026,5352.88
AFFOK--324,2025,36596.05
AFFOK--602,2024,33724.3
AGARS--338,2023,22210.11
AGENC  177,2024,250.0
AGENT--784,2025,1770.91
AGENT--784,2026,12446.78
AGNER--959,2023,14.46
AGNER--959,2024,21857.67
AGRAE--388,2025,25856.77
AGRAE--388,2026,205.72
AGUIN--508,2025,5190.56
AGUIR--299,2024,4800.93
AKERJ  837,2023,2070.87
AKEYL--166,2023,27726.41
ALBEJ  056,2025,24390.17
ALDEJ--041,2025,6361.27
ALDEJ--041,2026,16386.79
ALEXA--201,2024,4093.45
ALEXA--803,2023,1185.92
ALKAR--041,2023,79.28
ALKAR--041,2025,23461.82
ALKAR--041,2026,16595.7
ALL-K--809,2025,662264.72
ALL-O--930,2024,6062.01
ALL-T--092,2023,137743.17
ALL-T--092,2024,25169.05
ALL-T--092,2025,67883.1
ALL-T--092,2026,124269.53
ALLER--935,2024,8835.62
ALLIB--025,2023,16000.0
ALLIC--012,2025,3223.01
ALLIC--499,2023,11932.1
ALLIC--499,2024,13677.84
ALLIC--499,2025,625.0
ALLICE 201,2024,12916.54
ALLIL--684,2025,31319.32
ALLIL--684,2026,3435.6
ALLIS--838,2025,728.0
ALONE--619,2025,1597.7
ALSID--298,2025,1286.0
ALTAA--500,2025,3188.43
ALVAE--739,2023,6302.45
ALVAE--739,2024,38703.75
ALVAE--739,2025,51995.35
ALVAE2-739,2025,49.66
ALVAE2-739,2026,52831.91
ALVAM  352,2026,2451.21
AMAMS--327,2026,69016.04
AMATJ--074,2023,21360.51
AMATJ--074,2025,18931.87
AMERA--812,2026,1395.2
AMERH--179,2023,8978.82
AMERS--094,2023,87357.86
AMERS--094,2024,57709.68
AMERS--094,2025,117314.68
AMERW--407,2025,66150.0
AMESC--499,2023,297.0
AMESC--499,2025,3057.73
AMESC--499,2026,17.56
AMEZE--196,2025,710.81
ANDEA  406,2023,3485.35
ANDEA--060,2024,388.56
ANDEA--662,2024,4375.0
ANDEF--781,2024,1169.26
ANDEJ  073,2023,12935.35
ANDEJ  073,2024,3538.18
ANDEJ  073,2025,602.77
ANDEJ  422,2023,3241.36
ANDEL  040,2025,7375.21
ANDEL  040,2026,3750.57
ANDEL  225,2023,4090.36
ANDEL--878,2023,224.35
ANDEM--197,2023,176.88
ANDEM--197,2024,271.48
ANDEM--349,2023,86585.13
ANDEM--349,2024,35771.33
ANDEN--559,2025,10851.77
ANDEN--559,2026,370.99
ANDEP--411,2023,59510.28
ANDER  218,2024,2173.91
ANDES--154,2026,10680.65
ANDET--158,2025,16009.52
ANDRA--557,2023,35486.96
ANDRA--557,2026,12154.9
ANDRJ--768,2025,3156.28
ANDRP  367,2026,1635.04
ANDRT--267,2024,4575.22
ANG K  405,2023,29974.66
ANG K  405,2024,8.68
ANG K  405,2025,600.0
ANG K  405,2026,600.0
ANGET--422,2026,329537.79
ANGUP--150,2025,25441.88
ANGUP--150,2026,1050.43
ANITM--628,2026,6990.67
ANTHJ--943,2025,60967.29
ANTHR--642,2024,3194.68
ANUNJ--494,2025,12891.27
APANM--801,2024,601.91
APIEJ--816,2026,21376.66
APPLJ--967,2025,26013.32
ARABD--010,2026,4696.73
ARAGS  501,2023,112080.77
ARASJ--015,2025,2647.59
ARCHF--735,2025,2235.53
ARCHP  501,2023,2474.57
ARCHP  501,2024,12251.69
ARCHP  501,2025,68.44
ARCHP  501,2026,74.71
ARCHT--603,2023,19717.1
ARETW--216,2024,5756.04
ARGUC--496,2025,52639.82
ARIAG--119,2025,7840.76
ARMEB--742,2023,14362.52
ARMSJ--034,2026,572.13
ARMSR--585,2023,53133.12
ARMSR--585,2025,364666.22
ARNES--841,2023,25.38
ARNES--841,2026,7510.94
ARNOJE 504,2025,38213.22
ARONE--737,2025,35484.2
ARTEG--724,2023,2215.75
ARTHB--556,2025,7249.87
ARTMG--417,2025,1590.42
ASHBG  006,2023,2980.15
ASHIA--724,2023,59388.48
ASIAPA 104,2023,5882.26
ASIAPA 104,2024,6793.14
ASIAPA 104,2025,7738.42
ASIAPA 104,2026,176.77
ASSEL  003,2023,14658.49
ASSEL  003,2024,599.34
ASSOBC 220,2023,39850.0
ASSOBC 220,2024,59800.0
ASSOBC 220,2025,21250.0
ASSOBC 220,2026,56850.0
ASSOE--055,2024,8474865.94
ASSOE--055,2025,1366.0
ASSOE--055,2026,113.5
ASSOWB 507,2023,18000.0
ASSOWB 507,2024,139271.93
ASSOWB 507,2025,27600.0
ASSOWB 507,2026,46900.0
ASSOWS 402,2023,12112.56
ASSOWS 402,2024,48502.0
ASSOWS 402,2025,9740.75
ASSOWS 402,2026,2555.0
ATTOP--826,2025,4850.0
ATTRT--121,2024,6791.08
AUSTJ--695,2024,4366.69
AUTHC--308,2024,24560.09
AYALR--409,2023,267.38
AYALR--409,2024,53911.48
AYALR--409,2025,238.41
AYALR--409,2026,257.86
BABCJ--239,2025,5730.16
BACHJ--677,2025,1097.11
BACKG  612,2024,2915.92
BACKN  002,2025,51771.95
BACOM--252,2024,22409.17
BADES  208,2023,67855.79
BADES  208,2026,131.58
BADIE--837,2023,1311.61
BADIE--837,2024,9.0
BAINIP  110,2023,528.0
BAINIP  110,2024,4986.36
BAINIP  110,2025,5612.7
BAKEA--839,2023,10656.92
BAKED  028,2023,1727.6
BAKEM--304,2026,150.0
BALDC  007,2023,106790.42
BALDC  007,2024,208073.48
BALDC  007,2025,993452.45
BALDC  007,2026,71234.13
BALDC--071,2025,14473.71
BALDC--302,2026,16786.5
BALDJ  801,2023,13594.94
